num_expediente,DateTime,localizacion,numero,distrito,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,positiva_alcohol
2019S006501,2019-01-27T16:15:00Z,CALL_ALCALA,44,CENTRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,N
2019S006584,2019-12-01T22:25:00Z,CALL_GENERAL_RICARDOS__GTA_VALLE_DE_ORO,164,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,N
2019S006649,2019-01-30T11:41:00Z,CALL_TOMASA_RUIZ,1,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,0,N
2019S006655,2019-01-30T13:20:00Z,AVDA_CARABANCHEL_ALTO,122,CARABANCHEL,Colisión frontal,Despejado,Bicicleta,Conductor,De 10 a 14 años,Mujer,1,N
2019S007634,2019-01-24T19:58:00Z,AVDA_ALBUFERA__CALL_PUERTO_DE_CANFRANC,1,PUENTE_DE_VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,14,N
2019S007753,2019-02-02T00:03:00Z,CALL_MARIA_DE_MOLINA,18,SALAMANCA,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,2,N
2019S007855,2019-01-02T13:30:00Z,CALL_DOCTOR_ESQUERDO__CALL_DOCTOR_ESQUERDO,70,RETIRO,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,7,N
2019S007891,2019-01-02T00:15:00Z,CALL_FRANCISCO_SANTOS__CALL_MARTINEZ_IZQUIERDO,14,SALAMANCA,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 45 a 49 años,Hombre,7,N
2019S007920,2019-02-02T11:07:00Z,CALL_MARCELO_USERA__CALL_MANUEL_NOYA,8,USERA,Atropello a persona,Despejado,Bicicleta,Conductor,De 50 a 54 años,Mujer,14,N
2019S008448,2019-06-02T08:05:00Z,AVDA_LLANO_CASTELLANO__AVDA_CARDENAL_HERRERA_ORIA,2,FUENCARRAL-EL_PARDO,Atropello a persona,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,N
2019S008460,2019-01-02T01:40:00Z,CALL_SANTA_ENGRACIA__CALL_RIOS_ROSAS,128,CHAMBERÍ,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,N
2019S008489,2019-06-02T10:25:00Z,CALL_JUAN_BRAVO,17,SALAMANCA,Colisión frontal,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2,N
2019S008627,2019-06-02T17:30:00Z,CALL_ALCALA,173,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,0,N
2019S008637,2019-03-02T17:00:00Z,CALL_ALTAMIRANO__PASEO_PINTOR_ROSALES,52,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6,N
2019S008855,2019-06-02T19:40:00Z,CALL_AGUSTIN_DE_FOXA,30,CHAMARTÍN,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6,N
2019S009001,2019-07-02T09:15:00Z,CALL_PRADILLO,42,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,N
2019S009106,2019-07-02T18:50:00Z,CALL_PRINCIPE_DE_VERGARA__GTA_LOPEZ_DE_HOYOS,123,CHAMARTÍN,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,6,N
2019S009136,2019-07-02T16:10:00Z,CALL_VALLEHERMOSO__CALL_FERNANDEZ_DE_LOS_RIOS,42,CHAMBERÍ,Alcance,Se desconoce,Bicicleta,Conductor,De 30 a 34 años,Hombre,0,N
2019S009150,2019-06-02T16:40:00Z,CALL_GRAN_VIA__CALL_ALCALA,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,5,N
2019S009715,2019-10-02T13:45:00Z,CALL_PRINCIPE_DE_VERGARA,219,CHAMARTÍN,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,N
2019S009731,2019-08-02T22:30:00Z,CALL_ALCALA,13,CENTRO,Caída,Se desconoce,Bicicleta,Conductor,De 50 a 54 años,Mujer,7,N
2019S009733,2019-10-02T16:05:00Z,PASEO_REINA_CRISTINA__CALL_ANDRES_TORREJON,9,RETIRO,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 21 a 24 años,Hombre,0,N
2019S009806,2019-08-02T21:40:00Z,CALL_MESON_DE_PAREDES__CALL_JUANELO,10,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,N
2019S009942,2019-11-02T14:15:00Z,CALL_ALCALA,101,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1,N
2019S009957,2019-11-02T16:13:00Z,CALL_SERRANO,8,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,N
2019S010276,2019-02-02T11:30:00Z,CALL_MARTINEZ_DE_LA_RIVA,4,PUENTE_DE_VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,0,N
2019S010289,2019-11-02T09:15:00Z,CALL_MIGUEL_ANGEL,29,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6,N
2019S010293,2019-12-02T22:00:00Z,PASEO_PRADO,2,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,N
2019S010360,2019-02-13T14:25:00Z,CALL_CONDE_DE_PEÑALVER,38,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 55 a 59 años,Mujer,2,N
2019S010365,2019-12-02T19:05:00Z,GTA_QUEVEDO__CALL_SAN_BERNARDO,1,CHAMBERÍ,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,N
2019S010653,2019-02-14T14:20:00Z,PASEO_INFANTA_ISABEL,17,RETIRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,N
2019S010716,2019-02-14T18:00:00Z,AVDA_MENENDEZ_PELAYO,38,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,0,N
2019S010849,2019-02-14T20:00:00Z,CALL_SANTA_ENGRACIA,6,CHAMBERÍ,Atropello a persona,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6,N
2019S010852,2019-02-13T17:30:00Z,CALL_SILVANO__CALL_FRANCISCO_MOSQUEDA,162,HORTALEZA,Atropello a persona,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,N
2019S010855,2019-02-14T18:00:00Z,AUTOV_M-40_CON_AVDA_DOCTOR_GARCIA_TAPIA,+01400I,MORATALAZ,Alcance,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,N
2019S010907,2019-01-25T04:00:00Z,CALL_GRAN_VIA,78,CENTRO,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 21 a 24 años,Hombre,5,N
2019S010951,2019-02-15T14:10:00Z,GTA_ANGEL_CAIDO,4,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6,N
2019S011089,2019-02-16T14:05:00Z,RONDA_DE_VALENCIA_CON_GLORIETA_DE_EMBAJADORES,18,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,0,N
2019S011128,2019-02-17T09:00:00Z,AVDA_POBLADOS__CALL_ANTONIO_ROMERO,110,CARABANCHEL,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,3,N
2019S011335,2019-02-16T17:10:00Z,PASEO_CHOPERA,2,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,2,N
2019S011338,2019-02-16T19:55:00Z,CALL_JOAQUIN_TURINA,31,CARABANCHEL,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6,N
2019S012142,2019-02-20T07:45:00Z,CALL_ATOCHA,104,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Mujer,7,N
2019S012186,2019-02-19T11:57:00Z,CALL_IGLESIAS_EXTRAMUROS__AVDA_PESETA,10,LATINA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,N
2019S013090,2019-02-23T21:15:00Z,PLAZA_ESPAÑA,16,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,6,N
2019S013198,2019-02-23T10:35:00Z,CALL_PARROCO_EUSEBIO_CUENCA,46,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,5,N
2019S013570,2019-02-25T16:50:00Z,CALL_ESPARTEROS,12,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,1,N
2019S013666,2019-02-20T10:30:00Z,CALL_MANCHA__AVDA_ENTREVIAS,1,PUENTE_DE_VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6,N
2019S013729,2019-01-29T16:26:00Z,PASEO_RECOLETOS,23,CENTRO,Caída,Lluvia débil,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,N
2019S013751,2019-02-27T10:25:00Z,PASEO_FERNAN_NUÑEZ__PASEO_VENEZUELA,1,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,6,N
2019S013812,2019-02-27T18:40:00Z,PASEO_GENERAL_MARTINEZ_CAMPOS__CALL_MODESTO_LAFUENTE,39,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7,N
2019S013863,2019-02-28T08:45:00Z,GTA_SINTRA__CALL_VIA_DE_DUBLIN,1,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7,N
2019S013888,2019-02-28T07:30:00Z,PASEO_CASTELLANA,29,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,N
2019S013972,2019-02-03T04:00:00Z,PASEO_PRADO,48,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,S
2019S013999,2019-01-03T13:00:00Z,CALL_MODESTO_LAFUENTE,61,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,N
2019S014004,2019-01-03T20:45:00Z,PASEO_PRADO,13,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,6,N
2019S014016,2019-01-03T12:30:00Z,CALL_HACIENDA_DE_PAVONES__CALL_BRUJAS,356,MORATALAZ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,7,N
2019S014113,2019-02-03T13:30:00Z,PASEO_MOLINO,1,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,3,N
2019S014125,2019-02-03T14:50:00Z,CALL_RAIMUNDO_FERNANDEZ_VILLAVERDE__PASEO_CASTELLANA,69,TETUÁN,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,7,N
2019S014153,2019-01-03T12:10:00Z,RONDA_ATOCHA,7,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,14,N
2019S014196,2019-03-03T23:25:00Z,PLAZA_EMPERADOR_CARLOS_V,1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7,N
2019S014242,2019-03-03T20:55:00Z,CALL_PRINCESA__CALL_HILARION_ESLAVA,70,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Mujer,7,N
2019S014246,2019-02-22T20:05:00Z,CALL_GENERAL_RICARDOS,18,CARABANCHEL,Alcance,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,N
2019S014256,2019-04-03T16:05:00Z,CALL_ARROYO_DE_LA_MEDIA_LEGUA__CALL_CORREGIDOR_DIEGO_CABEZA_DE_VACA,20,MORATALAZ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Mujer,7,N
2019S014263,2019-04-03T15:45:00Z,CALL_ALFONSO_XII__CALL_MONTALBAN,10,RETIRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,N
2019S014289,2019-04-03T11:35:00Z,RETIRO,0,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,5,N
2019S014303,2019-04-03T12:45:00Z,PASEO_CASTELLANA,92,CHAMARTÍN,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,1,N
2019S014327,2019-05-03T16:15:00Z,CALL_TRESPADERNE__AVDA_SUR_DEL_AEROPUERTO_DE_BARAJAS,16,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,N
2019S014416,2019-06-03T17:00:00Z,CALL_ALBAIDA,76,SAN_BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6,N
2019S014478,2019-02-27T19:45:00Z,CALL_MELILOTO__CALL_NOPALERA,14,LATINA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Mujer,7,N
2019S014661,2019-08-03T16:45:00Z,PASEO_CASTELLANA__CALL_RAIMUNDO_FERNANDEZ_VILLAVERDE,69,TETUÁN,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,N
2019S014722,2019-08-03T19:25:00Z,AVDA_PARTENON,2,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,N
2019S015228,2019-10-03T14:58:00Z,CALL_SANTA_ADELA,14,HORTALEZA,Colisión frontal,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,3,N
2019S015263,2019-10-03T19:20:00Z,PASEO_ERMITA_DEL_SANTO__CALL_VIA_CARPETANA,53,LATINA,Colisión frontal,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,2,N
2019S015339,2019-10-03T22:00:00Z,AVDA_PORTUGAL,1,LATINA,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,N
2019S015475,2019-11-03T21:30:00Z,PLAZA_ESPAÑA__CALL_BAILEN,8,CENTRO,Alcance,Se desconoce,Bicicleta,Conductor,De 35 a 39 años,Mujer,0,N
2019S015481,2019-11-03T21:00:00Z,CALL_ALCALDE_SAINZ_DE_BARANDA__AUTOV_M-30,94,SALAMANCA,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,2,N
2019S015537,2019-11-03T20:15:00Z,CALL_ALCOCER__AVDA_ANDALUCIA,6,VILLAVERDE,Otro,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,0,N
2019S015559,2019-12-03T09:10:00Z,CALLE_JORGE_MANRIQUE_-_CALLE_SERRANO,1,CHAMARTÍN,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,1,N
2019S015623,2019-06-03T09:30:00Z,PLAZA_CARDENAL_CISNEROS__AVDA_COMPLUTENSE,1,VILLA_DE_VALLECAS,Caída,Lluvia intensa,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,N
2019S015708,2019-08-03T21:04:00Z,CALL_PRINCIPE_CARLOS__CALL_MARIA_TUDOR,58,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,2,N
2019S016088,2019-10-03T17:26:00Z,AVDA_INGENIERO_EMILIO_HERRERA,15,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 15 a 17 años,Mujer,7,N
2019S016157,2019-03-15T22:00:00Z,CALL_BRAVO_MURILLO,305,TETUÁN,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,2,N
2019S016203,2019-03-15T19:45:00Z,AVDA_CIUDAD_DE_BARCELONA__CALL_SECO,101,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,2,N
2019S016220,2019-03-16T18:35:00Z,CALL_O'DONNELL,52,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,14,N
2019S016322,2019-03-17T10:05:00Z,CALL_SUECIA__AVDA_CANILLEJAS_A_VICALVARO,1,SAN_BLAS-CANILLEJAS,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,7,N
2019S016338,2019-03-16T17:30:00Z,CALL_ALMAGRO,25,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,N
2019S016359,2019-03-18T00:00:00Z,CUSTA_SAN_VICENTE__CALL_BAILEN,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,3,N
2019S016402,2019-03-17T20:40:00Z,PASEO_LA_HABANA,39,CHAMARTÍN,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,6,N
2019S016418,2019-03-13T19:00:00Z,CALL_DOLORES_BARRANCO__CALL_NICOLAS_SANCHEZ,32,USERA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,7,N
2019S016463,2019-03-16T12:30:00Z,AVDA_NICETO_ALCALA_ZAMORA__CALL_JULIO_CASARES,3,HORTALEZA,Alcance,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,6,N
2019S016482,2019-03-18T14:25:00Z,CALL_SAN_BERNARDO,43,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,N
2019S016549,2019-03-20T10:30:00Z,PASEO_ERMITA_DEL_SANTO__GTA_PUENTE_DE_SEGOVIA,10,LATINA,Atropello a persona,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,14,N
2019S016583,2019-09-03T19:45:00Z,CALL_LOPEZ_GRASS__AVDA_ALBUFERA,1,PUENTE_DE_VALLECAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,6,N
2019S016649,2019-03-14T11:55:00Z,AVDA_VICTORIA,11,MONCLOA-ARAVACA,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 45 a 49 años,Hombre,0,N
2019S016675,2019-03-20T18:15:00Z,CALL_SANTA_CRUZ_DE_RETAMAR__AVDA_MIGUEL_HERNANDEZ,20,PUENTE_DE_VALLECAS,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,N
2019S016679,2019-03-20T15:32:00Z,AVDA_ENSANCHE_DE_VALLECAS__AVDA_LA_GAVIA,9,VILLA_DE_VALLECAS,Alcance,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7,N
2019S016752,2019-03-22T14:15:00Z,CALL_ATOCHA,109,CENTRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,14,N
2019S016753,2019-03-22T14:20:00Z,CALL_HULLA__AVDA_LOS_ROSALES,1,VILLAVERDE,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,3,N
2019S016943,2019-03-23T12:00:00Z,GTA_MARQUES_DE_VADILLO__PNTE_TOLEDO,2,CARABANCHEL,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,6,N
