,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
17,2019S002788,14/01/2019,11:10:00,"CALL. FLORA, 1",1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,7.0,"439975,62","4474413,84",N,
18,2019S002882,10/01/2019,20:30:00,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO,23,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2.0,"439998,13","4472568,82",N,
19,2019S003277,14/01/2019,16:30:00,CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ,2,CIUDAD LINEAL,Colisión lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Mujer,14.0,"445013,38","4475278,18",N,
20,2019S003283,11/01/2019,16:00:00,CALL. GRAN VIA / CALL. SAN BERNARDO,3,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,14.0,"440746,83","4474526,9",N,
21,2019S003306,16/01/2019,9:00:00,AVDA. DAROCA / CALL. NICOLAS SALMERON,1,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,6.0,"444098,8","4475847,19",N,
22,2019S003364,12/01/2019,13:03:00,"AVDA. ENSANCHE DE VALLECAS, 44",44,VILLA DE VALLECAS,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 15 a 17 años,Mujer,7.0,"448341,59","4468750,98",N,
23,2019S003463,14/01/2019,22:45:00,CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS,9,CHAMBERÍ,Colisión fronto-lateral,,Bicicleta,Conductor,De 25 a 29 años,Hombre,,"441352,41","4476253,06",N,
24,2019S003662,17/01/2019,6:00:00,"CALL. DOCE DE OCTUBRE, 26",26,RETIRO,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,2.0,"442787,4","4474137,12",N,
25,2019S003749,16/01/2019,15:20:00,"PLAZA. CONDE DEL VALLE DE SUCHIL, 3",3,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Mujer,7.0,"439963,88","4475760,8",N,
26,2019S004134,14/01/2019,20:20:00,"PASEO. EL PARDO, 37",37,FUENCARRAL-EL PARDO,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2.0,"433957,56","4486531,03",N,
27,2019S004151,17/01/2019,16:15:00,"CALL. SERRANO, 141",141,CHAMARTÍN,Alcance,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,14.0,"441830,39","4477302,26",N,
28,2019S004271,18/01/2019,18:05:00,"AVDA. FERMINA SEVILLANO, 42",42,SAN BLAS-CANILLEJAS,Colisión frontal,,Bicicleta,Conductor,De 45 a 49 años,Hombre,,"451539,88","4477095,55",S,
29,2019S004528,19/01/2019,21:10:00,PLAZA. INDEPENDENCIA / CALL. ALCALA,1,SALAMANCA,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,"441494,31","4474619,81",N,
30,2019S004582,19/01/2019,11:10:00,"CTRA. EL PARDO A FUENCARRAL, 0",0,FUENCARRAL-EL PARDO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2.0,"439536,61","4483853,76",N,
31,2019S004601,17/01/2019,19:50:00,CALL. ARENAL / CALL. DONADOS,26,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,"439915,04","4474369,89",N,
32,2019S004769,18/01/2019,7:55:00,"CALL. GENOVA, 2",2,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2.0,"440999,5","4475425,55",N,
33,2019S004939,21/01/2019,16:50:00,"CALL. SAN ENRIQUE DE OSSO, 36",36,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,2.0,"445597,36","4484045,06",N,
34,2019S005036,24/01/2019,11:15:00,CALL. BRAVO MURILLO / CALL. PENSAMIENTO,250,TETUÁN,Atropello a persona,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14.0,"440745,25","4479036,86",N,
35,2019S005036,24/01/2019,11:15:00,CALL. BRAVO MURILLO / CALL. PENSAMIENTO,250,TETUÁN,Atropello a persona,Despejado,Bicicleta,Peatón,De 55 a 59 años,Mujer,7.0,"440745,25","4479036,86",N,
36,2019S005062,23/01/2019,15:38:00,"AVDA. ALBUFERA, 149",149,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 65 a 69 años,Hombre,14.0,"444202,62",4471503,N,
37,2019S005101,18/01/2019,13:00:00,"CALL. VILLABLANCA, 11",11,VICÁLVARO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 60 a 64 años,Hombre,2.0,"448485,15","4473308,24",N,
38,2019S005992,25/01/2019,9:12:00,"CALLE ALFONSO XI , CALLE ALCALA",3,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,"441431,47","4474455,31",N,
39,2019S006032,26/01/2019,21:35:00,"CALL. MARIA DE MOLINA, 60",60,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7.0,"442428,75","4476514,31",N,
40,2019S006478,28/01/2019,18:00:00,CALL. MENDEZ ALVARO / CALL. TITAN,83,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14.0,"442369,88","4471803,39",N,
41,2019S006501,27/01/2019,16:15:00,"CALL. ALCALA, 44",44,CENTRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,"440947,35","4474446,52",N,
42,2019S006501,27/01/2019,16:15:00,"CALL. ALCALA, 44",44,CENTRO,Atropello a persona,Despejado,Bicicleta,Peatón,De 25 a 29 años,Mujer,14.0,"440947,35","4474446,52",N,
43,2019S006584,12/01/2019,22:25:00,CALL. GENERAL RICARDOS / GTA. VALLE DE ORO,164,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,"437899,15","4471161,1",N,
44,2019S006649,30/01/2019,11:41:00,"CALL. TOMASA RUIZ, 1",1,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,,"439693,53","4471979,14",N,
45,2019S006655,30/01/2019,13:20:00,"AVDA. CARABANCHEL ALTO, 122",122,CARABANCHEL,Colisión frontal,Despejado,Bicicleta,Conductor,De 10 a 14 años,Mujer,1.0,"436006,3","4468605,95",N,
46,2019S007634,24/01/2019,19:58:00,AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC,1,PUENTE DE VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,14.0,"443244,75","4472173,61",N,
47,2019S007753,02/02/2019,0:03:00,"CALL. MARIA DE MOLINA, 18",18,SALAMANCA,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,2.0,"441740,57","4476563,45",N,
48,2019S007855,01/02/2019,13:30:00,CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO,70,RETIRO,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,7.0,"443166,43","4473891,43",N,
49,2019S007891,01/02/2019,0:15:00,CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO,14,SALAMANCA,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 45 a 49 años,Hombre,7.0,"443462,46","4476149,9",N,
50,2019S007920,02/02/2019,11:07:00,CALL. MARCELO USERA / CALL. MANUEL NOYA,8,USERA,Atropello a persona,Despejado,Bicicleta,Conductor,De 50 a 54 años,Mujer,14.0,"440567,06","4471033,23",N,
51,2019S007920,02/02/2019,11:07:00,CALL. MARCELO USERA / CALL. MANUEL NOYA,8,USERA,Atropello a persona,Despejado,Bicicleta,Peatón,De 70 a 74 años,Mujer,7.0,"440567,06","4471033,23",N,
52,2019S008448,06/02/2019,8:05:00,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA,2,FUENCARRAL-EL PARDO,Atropello a persona,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,"442013,22","4481996,88",N,
53,2019S008448,06/02/2019,8:05:00,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA,2,FUENCARRAL-EL PARDO,Atropello a persona,Despejado,Bicicleta,Peatón,De 15 a 17 años,Mujer,7.0,"442013,22","4481996,88",N,
54,2019S008460,01/02/2019,1:40:00,CALL. SANTA ENGRACIA / CALL. RIOS ROSAS,128,CHAMBERÍ,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,"440511,29","4477022,36",N,
55,2019S008489,06/02/2019,10:25:00,"CALL. JUAN BRAVO, 17",17,SALAMANCA,Colisión frontal,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2.0,"442184,82","4476028,38",N,
56,2019S008627,06/02/2019,17:30:00,"CALL. ALCALA, 173",173,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,,"442977,7","4475321,98",N,
57,2019S008637,03/02/2019,17:00:00,CALL. ALTAMIRANO / PASEO. PINTOR ROSALES,52,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,"438757,76","4475700,8",N,
58,2019S008855,06/02/2019,19:40:00,"CALL. AGUSTIN DE FOXA, 30",30,CHAMARTÍN,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6.0,"441902,08","4480159,76",N,
59,2019S009001,07/02/2019,9:15:00,"CALL. PRADILLO, 42",42,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,"443118,71","4477811,2",N,
60,2019S009106,07/02/2019,18:50:00,CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS,123,CHAMARTÍN,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,6.0,"442419,62","4477025,13",N,
61,2019S009136,07/02/2019,16:10:00,CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS,42,CHAMBERÍ,Alcance,,Bicicleta,Conductor,De 30 a 34 años,Hombre,,"439910,43","4476274,68",N,
62,2019S009150,06/02/2019,16:40:00,CALL. GRAN VIA / CALL. ALCALA,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,5.0,"440779,78","4474514,08",N,
63,2019S009715,10/02/2019,13:45:00,"CALL. PRINCIPE DE VERGARA, 219",219,CHAMARTÍN,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,"442533,48","4478218,65",N,
64,2019S009731,08/02/2019,22:30:00,"CALL. ALCALA, 13",13,CENTRO,Caída,Se desconoce,Bicicleta,Conductor,De 50 a 54 años,Mujer,7.0,"440558,45","4474350,22",N,
65,2019S009733,10/02/2019,16:05:00,PASEO. REINA CRISTINA / CALL. ANDRES TORREJON,9,RETIRO,Colisión fronto-lateral,,Bicicleta,Conductor,De 21 a 24 años,Hombre,,"442072,89","4473157,22",N,
66,2019S009806,08/02/2019,21:40:00,CALL. MESON DE PAREDES / CALL. JUANELO,10,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7.0,"440178,21","4473647,88",N,
67,2019S009942,11/02/2019,14:15:00,"CALL. ALCALA, 101",101,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,"442034,76","4474774,9",N,
68,2019S009957,11/02/2019,16:13:00,"CALL. SERRANO, 8",8,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,"441611,52","4474782,41",N,
69,2019S010276,02/02/2019,11:30:00,"CALL. MARTINEZ DE LA RIVA, 4",4,PUENTE DE VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,,"443332,03","4471841,9",N,
70,2019S010289,11/02/2019,9:15:00,"CALL. MIGUEL ANGEL, 29",29,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,"441357,47","4476554,92",N,
71,2019S010293,12/02/2019,22:00:00,"PASEO. PRADO, 2",2,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,"441109,48","4474401,96",N,
72,2019S010360,13/02/2019,14:25:00,"CALL. CONDE DE PEÑALVER, 38",38,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 55 a 59 años,Mujer,2.0,"442734,21",4475611,N,
73,2019S010365,12/02/2019,19:05:00,GTA. QUEVEDO / CALL. SAN BERNARDO,1,CHAMBERÍ,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,"440259,14","4476061,24",N,
74,2019S010653,14/02/2019,14:20:00,"PASEO. INFANTA ISABEL, 17",17,RETIRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,"441657,42","4473140,48",N,
75,2019S010716,14/02/2019,18:00:00,"AVDA. MENENDEZ PELAYO, 38",38,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,,"442248,77","4472942,1",N,
76,2019S010849,14/02/2019,20:00:00,"CALL. SANTA ENGRACIA, 6",6,CHAMBERÍ,Atropello a persona,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,"440979,2","4475567,41",N,
77,2019S010849,14/02/2019,20:00:00,"CALL. SANTA ENGRACIA, 6",6,CHAMBERÍ,Atropello a persona,Despejado,Bicicleta,Peatón,De 25 a 29 años,Hombre,14.0,"440979,2","4475567,41",N,
78,2019S010852,13/02/2019,17:30:00,CALL. SILVANO / CALL. FRANCISCO MOSQUEDA,162,HORTALEZA,Atropello a persona,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,"446762,73","4479280,24",N,
79,2019S010852,13/02/2019,17:30:00,CALL. SILVANO / CALL. FRANCISCO MOSQUEDA,162,HORTALEZA,Atropello a persona,Despejado,Bicicleta,Peatón,De 21 a 24 años,Mujer,7.0,"446762,73","4479280,24",N,
80,2019S010855,14/02/2019,18:00:00,AUTOV. M-40 CON AVDA. DOCTOR GARCIA TAPIA,+01400I,MORATALAZ,Alcance,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,"447220,51","4473496,14",N,
81,2019S010907,25/01/2019,4:00:00,"CALL. GRAN VIA, 78",78,CENTRO,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 21 a 24 años,Hombre,5.0,"439747,38","4474976,35",N,
82,2019S010951,15/02/2019,14:10:00,"GTA. ANGEL CAIDO, 4",4,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,"442111,36","4473478,33",N,
83,2019S011089,16/02/2019,14:05:00,RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES,18,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,,"440447,34","4472989,71",N,
84,2019S011128,17/02/2019,9:00:00,AVDA. POBLADOS / CALL. ANTONIO ROMERO,110,CARABANCHEL,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,3.0,"437808,78","4469462,88",N,
85,2019S011335,16/02/2019,17:10:00,"PASEO. CHOPERA, 2",2,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,2.0,"440382,47","4471960,28",N,
86,2019S011338,16/02/2019,19:55:00,"CALL. JOAQUIN TURINA, 31",31,CARABANCHEL,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,"436051,24","4469351,86",N,
87,2019S012142,20/02/2019,7:45:00,"CALL. ATOCHA, 104",104,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Mujer,7.0,"440997,72","4473536,04",N,
88,2019S012186,19/02/2019,11:57:00,CALL. IGLESIAS EXTRAMUROS / AVDA. PESETA,10,LATINA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,"435162,01","4468900,51",N,
89,2019S013090,23/02/2019,21:15:00,"PLAZA. ESPAÑA, 16",16,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,6.0,"439497,12","4475030,4",N,
90,2019S013198,23/02/2019,10:35:00,"CALL. PARROCO EUSEBIO CUENCA, 46",46,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,5.0,"441543,07","4471846,38",N,
91,2019S013570,25/02/2019,16:50:00,"CALL. ESPARTEROS, 12",12,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,1.0,"440156,71","4474128,7",N,
92,2019S013666,20/02/2019,10:30:00,CALL. MANCHA / AVDA. ENTREVIAS,1,PUENTE DE VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,"443223,54","4470296,76",N,
93,2019S013729,29/01/2019,16:26:00,"PASEO. RECOLETOS, 23",23,CENTRO,Caída,Lluvia débil,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,"441281,93","4474893,67",N,
94,2019S013751,27/02/2019,10:25:00,PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA,1,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,6.0,"441697,28","4473503,49",N,
95,2019S013812,27/02/2019,18:40:00,PASEO. GENERAL MARTINEZ CAMPOS / CALL. MODESTO LAFUENTE,39,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7.0,"441305,77","4476300,28",N,
96,2019S013863,28/02/2019,8:45:00,GTA. SINTRA / CALL. VIA DE DUBLIN,1,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7.0,"447980,64","4480212,42",N,
97,2019S013888,28/02/2019,7:30:00,"PASEO. CASTELLANA, 29",29,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,"441515,01","4475792,9",N,
98,2019S013972,02/03/2019,4:00:00,"PASEO. PRADO, 48",48,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,"441228,53","4473476,99",S,
99,2019S013999,01/03/2019,13:00:00,"CALL. MODESTO LAFUENTE, 61",61,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,"440985,94","4477314,31",N,
100,2019S014004,01/03/2019,20:45:00,"PASEO. PRADO, 13",13,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,6.0,"441266,35","4473601,16",N,
101,2019S014016,01/03/2019,12:30:00,CALL. HACIENDA DE PAVONES / CALL. BRUJAS,356,MORATALAZ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,7.0,"446741,15","4472193,4",N,
102,2019S014113,02/03/2019,13:30:00,"PASEO. MOLINO, 1",1,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,3.0,"441071,71","4471379,66",N,
103,2019S014125,02/03/2019,14:50:00,CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA,69,TETUÁN,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,7.0,"441302,72","4477555,43",N,
104,2019S014153,01/03/2019,12:10:00,"RONDA. ATOCHA, 7",7,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,14.0,"441038,59","4473162,51",N,
105,2019S014196,03/03/2019,23:25:00,"PLAZA. EMPERADOR CARLOS V, 1",1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7.0,"441230,58","4473448,2",N,
106,2019S014242,03/03/2019,20:55:00,CALL. PRINCESA / CALL. HILARION ESLAVA,70,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Mujer,7.0,"439203,44","4475923,76",N,
107,2019S014246,22/02/2019,20:05:00,"CALL. GENERAL RICARDOS, 18",18,CARABANCHEL,Alcance,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2.0,"439033,35","4472016,06",N,
108,2019S014256,04/03/2019,16:05:00,CALL. ARROYO DE LA MEDIA LEGUA / CALL. CORREGIDOR DIEGO CABEZA DE VACA,20,MORATALAZ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Mujer,7.0,"444273,54","4473239,94",N,
109,2019S014263,04/03/2019,15:45:00,CALL. ALFONSO XII / CALL. MONTALBAN,10,RETIRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,"441542,76","4474420,14",N,
110,2019S014289,04/03/2019,11:35:00,RETIRO,0,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,5.0,"442183,39","4474730,16",N,
111,2019S014303,04/03/2019,12:45:00,"PASEO. CASTELLANA, 92",92,CHAMARTÍN,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,1.0,"441403,08","4477184,16",N,
112,2019S014327,05/03/2019,16:15:00,CALL. TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS,16,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,"450726,78","4478155,85",N,
113,2019S014416,06/03/2019,17:00:00,"CALL. ALBAIDA, 76",76,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,6.0,"447944,77","4476022,61",N,
114,2019S014478,27/02/2019,19:45:00,CALL. MELILOTO / CALL. NOPALERA,14,LATINA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Mujer,7.0,"434592,28","4471147,91",N,
115,2019S014661,08/03/2019,16:45:00,PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE,69,TETUÁN,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7.0,"441338,18","4477567,24",N,
116,2019S014722,08/03/2019,19:25:00,"AVDA. PARTENON, 2",2,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,"447539,99","4479342,29",N,
117,2019S015228,10/03/2019,14:58:00,"CALL. SANTA ADELA, 14",14,HORTALEZA,Colisión frontal,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,3.0,"444912,76","4481091,42",N,
118,2019S015228,10/03/2019,14:58:00,"CALL. SANTA ADELA, 14",14,HORTALEZA,Colisión frontal,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14.0,"444912,76","4481091,42",N,
